10#147#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#148#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#149#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#150#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1502#Asignado#LEAST COST ROUTING TELECOM, S.L.#14/11/1997
10#1505#Asignado#JETNET WIMAX, S.A.#18/07/2002
10#151#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1517#Asignado#11888 SERVICIO CONSULTA TELEFÓNICA, S.A. UNIPERSONAL#19/06/2003
10#1518#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#17/02/2015
10#1519#Asignado#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#19/06/2003
10#152#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1521#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#21/01/2016
10#1522#Asignado#ORANGE WEB SERVICES, S.L.#30/07/2003
10#153#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1531#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/04/2004
10#1532#Asignado#MASMÓVIL IBERCOM, S.A.#18/05/2004
10#1535#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#17/02/2015
10#154#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1545#Asignado#MARIN TELECOM, S.L. UNIPERSONAL#07/04/2005
10#1547#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
10#1548#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
10#1549#Asignado#NAVARRA DE SERVICIOS Y TECNOLOGÍAS, S.A. UNIPERSONAL#22/12/2011
10#155#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1550#Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#02/09/2005
10#1556#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#25/03/2007
10#1557#Asignado#ALAI OPERADOR DE TELECOMUNICACIONES, S.L.#24/11/2005
10#1558#Asignado#FINAREA, S.A.#25/01/2006
10#1559#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#03/02/2006
10#156#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1564#Asignado#QUALITY TELECOM, S.L.#03/11/2006
10#1565#Asignado#INTERNET GLOBAL BUSINESS, S.L.#06/11/2006
10#1567#Asignado#CONTACTA SERVEIS AVANÇATS, S.L.#13/11/2006
10#1568#Asignado#INCOTEL INGENIERÍA Y CONSULTORÍA, S.A.#12/01/2007
10#157#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1571#Asignado#INCOTEL SERVICIOS AVANZADOS, S.L.#25/01/2007
10#158#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1580#Asignado#GESTIÓN DE SISTEMAS GLOBALES DE TELECOMUNICACIÓN AMUNDO, S.A.#17/11/2017
10#1582#Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL#26/07/2007
10#1583#Asignado#ORANGE ESPAÑA VIRTUAL, S.L. UNIPERSONAL#23/07/2007
10#1586#Asignado#AMERICATEL COMMUNICATIONS, S.L.#26/09/2007
10#159#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1594#Asignado#VOXBONE, S.A.#07/02/2008
10#1595#Asignado#ADAMO TELECOM IBERIA, S.A.#20/07/2011
10#1596#Asignado#GU2TEL SPAIN, S.L. UNIPERSONAL#01/04/2008
10#1599#Asignado#TELCOM BUSINESS SOLUTIONS, S.L.#23/05/2008
10#16#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#160#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1600#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1601#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1602#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1603#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1604#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1605#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1606#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1607#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1608#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1609#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#161#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1610#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1611#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1612#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1613#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1614#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1615#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
10#1616#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#31/07/1997
